CodigoInterno,NombreInvima,DescripcionComercial,PrincipioActivo,CodigoInvima,Cum
2701,DOXORUBICINACLORHIDRATO 50 MG / 25 ML SOLUCION PARA INFUSION,CAJA POR UN VIAL DE VIDRIO TIPO I POR 25 ML. CON TAPÓN DE CAUCHO. AGRAFE DE ALUMINIO Y TAPA TIPO FLIP OFF CON RECUBRIMIENTO EN FOTOPOLÍMERO DE PROTECCIÓN ONCOSHIELD.,DOXORUBICINA CLORHIDRATO,INVIMA 2023M-0013582-R1,20043047-2
2702,FEXOFENADINA CLORHIDRATO 120 MG TABLETAS RECUBIERTAS,CAJA POR 10 TABLETAS RECUBIERTAS BLISTER EN TRIFLEX (PP/AL/PVC/PVDC)/ALUMINIO.,FEXOFENADINA CLORHIDRATO,INVIMA 2014M-0014873,20063891-1
2703,DEXMETINOVA®,CAJA PLEGADIZA POR 5 VIALES CON 2 ML DE SOLUCIÓN INYECTABLE CADA UNO.,DEXMEDETOMIDINA CLORHIDRATO EQUIVALENTE ADEXMEDETOMIDINA BASE,INVIMA 2020M-0016474-R1,20083859-1
2704,SILDENAFIL 50 MG TABLETAS RECUBIERTAS,CAJA POR 2 TABLETAS RECUBIERTAS EN 1 BLÍSTER PVC/PVDC TRANSPARENTE/ALUMINIO POR 2 TABLETAS RECUBIERTAS CADA BLÍSTER.,SILDENAFIL CITRATO. EQUIVALENTE A SILDENAFIL BASE,INVIMA 2023M-0000370-R3,19914377-1
2705,LET®2.5MG,IUM:1L1003581008100 CAJA PLEGADIZA CON BLÍSTER ALUMINIO/PVC INCOLORO PORSIN DATO30 TABLETAS RECUBIERTAS,LETROZOL,INVIMA 2021M-0020270,20167225-1
2706,MULTIDOL EXPRESS400 MG,CAJA POR 48 CÁPSULAS (EN 12 BLISTER PVC/PVDC/ALUMINIO POR 4 CÁPSULAS CADA UNO),IBUPROFENO,INVIMA 2023M-0006661-R2,19968025-6
2707,MULTIDOL® 800 MG,CAJA POR 30 CÁPSULAS EN BLISTER. ALUMINIO-PVC/PVDC(INCOLORO). POR 10 CAPSULAS CADA UNO,IBUPROFENO,INVIMA 2020M-0008135-R1,19982400-1
2708,LETROLE®,CAJA POR 3 BLISTER EN ALUMINIO/PVC-PE-PVDC POR 10 TABLETAS CADA UNO,LETROZOL,INVIMA 2014M-0015445,20065665-1
2709,FEXODINA..,CAJA PLEGADIZA CON FRASCO PET ( POLIETILENTEREFTALATO)SIN DATOAMBAR POR 150 ML CON TAPA PP ( POLIPROPILENO) BLANCA Y JERINGA DOSIFICADORA,FEXOFENADINA CLORHIDRATO,INVIMA 2018M-0018625,20150412-1
2710,HEPA- MERZ® GRANULADO,CAJA DE CARTON POR 30 SOBRES DE 5 G C/U.,L-ORNITINA L-ASPARTATO,INVIMA 2020M-13711-R2,19900270-7
2711,CIPLADANOGEN® 200 MG CAPSULAS,USO INSTITUCIONAL: CAJA DE CARTÓN POR 30 CÁPSULAS DURAS EN BLISTER DE PVC / ALUMINIO POR 10 CÁPSULAS DURAS CADA BLISTER.,DANAZOL,INVIMA 2010 M-13969 R1,19905582-6
2712,CARDIK - IN® 160/2.5,CAJA POR 30 TABLETAS RECUBIERTAS EN BLISTER POR 10 TABLETAS PVC-PE-PVDC-PE-PVC 180/ALUMINIO.,VALSARTAN,INVIMA 2023M-0018125-R1,20120957-5
2713,CARDIK - IN® 160/2.5,CAJA POR 30 TABLETAS RECUBIERTAS EN BLISTER POR 10 TABLETAS PVC-PE-PVDC-PE-PVC 180/ALUMINIO.,INDAPAMIDA,INVIMA 2023M-0018125-R1,20120957-5
2714,CARDIKIN® 160/1.25,CAJA X 30 TABLETAS RECUBIERTAS EN BLISTER PVC-PE-PVDC-PE-PVC 180/ALUMINIO,VALSARTAN,INVIMA 2023M-0018124-R1,20100603-3
2715,CARDIKIN® 160/1.25,CAJA X 30 TABLETAS RECUBIERTAS EN BLISTER PVC-PE-PVDC-PE-PVC 180/ALUMINIO,INDAPAMIDA,INVIMA 2023M-0018124-R1,20100603-3
